County,State_Abrev,Fully_Vaccinated,Boosters,FIPS_Code
fannin county,ga,23.2,59.6,13111
troup county,ga,23.6,35.6,13285
madison county,ga,25.1,49.4,13195
dooly county,ga,20.4,51.5,13093
macon county,ga,22.4,49.8,13193
clayton county,ga,23.7,38.7,13063
lamar county,ga,16,65.2,13171
jefferson county,ga,35.4,38.3,13163
pierce county,ga,25.8,26.8,13229
liberty county,ga,44.3,14.5,13179
coffee county,ga,29.9,25.1,13069
randolph county,ga,22,56.2,13243
wheeler county,ga,12.3,48.6,13309
mcintosh county,ga,36.8,34.1,13191
tift county,ga,23.3,41.3,13277
hawaii county,hi,,,15001
maui county,hi,,,15009
honolulu county,hi,,,15003
kalawao county,hi,,,
kauai county,hi,,,15007
dallas county,ia,63.5,44.8,19049
pottawattamie county,ia,54.2,38.6,19155
monona county,ia,52.1,42.9,19133
ringgold county,ia,50.4,60.9,19159
worth county,ia,50.1,49.1,19195
montgomery county,ia,53.7,44.6,19137
davis county,ia,35.2,45.5,19051
cherokee county,ia,51,47.7,19035
crawford county,ia,51.5,40.1,19047
wayne county,ia,40.3,51.1,19185
scott county,ia,57.1,39.9,19163
appanoose county,ia,45.1,47.0,19007
calhoun county,ia,57.2,50.1,19025
mitchell county,ia,47.2,52.3,19131
chickasaw county,ia,52.5,49.9,19037
johnson county,ia,69.9,48.7,19103
decatur county,ia,38.8,48.6,19053
adair county,ia,47.5,52.1,19001
carroll county,ia,59.5,48.1,19027
black hawk county,ia,57.5,44.0,19013
pocahontas county,ia,50.6,45.7,19151
hardin county,ia,54.1,47.0,19083
greene county,ia,56.2,45.6,19073
louisa county,ia,50.1,38.9,19115
warren county,ia,57.5,45.3,19181
union county,ia,49.3,48.3,19175
hancock county,ia,47.7,47.1,19081
jones county,ia,56.4,49.9,19105
taylor county,ia,45.2,49.1,19173
jasper county,ia,56.2,46.5,19099
shelby county,ia,56.9,50.3,19165
wapello county,ia,47.5,39.3,19179
cass county,ia,56.1,50.1,19029
buena vista county,ia,64.1,30.8,19021
clayton county,ia,46.4,42.6,19043
sac county,ia,50.9,48.5,19161
cerro gordo county,ia,60.6,45.9,19033
poweshiek county,ia,56.8,48.8,19157
franklin county,ia,51.4,44.7,19069
benton county,ia,55.6,46.4,19011
audubon county,ia,56.7,51.1,19009
guthrie county,ia,56.4,48.0,19077
allamakee county,ia,51.1,46.6,19005
marion county,ia,51,46.3,19125
woodbury county,ia,53.5,34.1,19193
jefferson county,ia,46.3,45.6,19101
muscatine county,ia,58.1,38.9,19139
dickinson county,ia,55.9,48.9,19059
floyd county,ia,51.1,48.7,19067
clarke county,ia,52.4,42.1,19039
cedar county,ia,57.8,47.7,19031
bremer county,ia,57.5,49.7,19017
ida county,ia,47.4,44.8,19093
buchanan county,ia,51.4,46.2,19019
monroe county,ia,44.3,47.7,19135
jackson county,ia,50.9,52.4,19097
dubuque county,ia,61.9,48.8,19061
lyon county,ia,39.3,37.5,19119
lee county,ia,48.6,42.4,19111
van buren county,ia,40.6,45.7,19177
keokuk county,ia,45,44.5,19107
o'brien county,ia,48.8,45.7,19141
kossuth county,ia,50.2,46.2,19109
fremont county,ia,49.2,41.8,19071
hamilton county,ia,60.5,47.1,19079
harrison county,ia,49.5,36.3,19085
des moines county,ia,49.1,45.5,19057
winnebago county,ia,50.4,46.0,19189
story county,ia,60.8,47.0,19169
emmet county,ia,49.9,43.3,19063
howard county,ia,49.7,49.4,19089
sioux county,ia,40,34.3,19167
madison county,ia,51.8,45.9,19121
mahaska county,ia,42.1,44.7,19123
iowa county,ia,60.6,45.6,19095
marshall county,ia,62.2,41.9,19127
humboldt county,ia,48,44.0,19091
page county,ia,50.9,47.3,19145
delaware county,ia,52.1,47.2,19055
washington county,ia,54.6,45.3,19183
webster county,ia,55,45.0,19187
linn county,ia,63.8,48.4,19113
mills county,ia,51.4,39.4,19129
adams county,ia,53.9,49.7,19003
clinton county,ia,52.1,43.5,19045
boone county,ia,61.4,46.2,19015
lucas county,ia,44,50.6,19117
wright county,ia,55.2,46.9,19197
winneshiek county,ia,60.1,54.4,19191
henry county,ia,51.5,46.2,19087
grundy county,ia,59.4,46.9,19075
palo alto county,ia,49,47.5,19147
fayette county,ia,52.5,49.9,19065
tama county,ia,59.9,44.8,19171
polk county,ia,64.3,44.1,19153
plymouth county,ia,50.2,42.3,19149
butler county,ia,55.4,49.8,19023
clay county,ia,50,45.4,19041
osceola county,ia,43.7,43.0,19143
nez perce county,id,50.5,30.8,16069
bingham county,id,41.4,32.6,16011
fremont county,id,39.2,31.6,16043
adams county,id,40.4,40.9,16003
teton county,id,55.6,37.9,16081
lincoln county,id,36.1,33.5,16063
madison county,id,46.5,17.5,16065
clearwater county,id,39.3,41.6,16035
caribou county,id,35.6,38.5,16029
ada county,id,54.4,44.9,16001
oneida county,id,39.4,42.9,16071
lemhi county,id,42.7,48.3,16059
washington county,id,36.9,36.5,16087
kootenai county,id,41,37.1,16055
valley county,id,54.7,48.0,16085
boundary county,id,31.6,37.4,16021
franklin county,id,38.6,30.7,16041
gooding county,id,38,32.1,16047
minidoka county,id,35.8,29.2,16067
twin falls county,id,42.6,37.0,16083
idaho county,id,28.2,40.0,16049
blaine county,id,70.6,46.8,16013
butte county,id,43.7,32.7,16023
cassia county,id,34,27.3,16031
boise county,id,31.3,37.5,16015
bannock county,id,44.7,38.6,16005
owyhee county,id,30.7,30.7,16073
shoshone county,id,39.8,45.8,16079
custer county,id,43.3,45.1,16037
elmore county,id,40.5,24.6,16039
camas county,id,40,39.4,16025
payette county,id,29.1,30.8,16075
power county,id,43.6,37.0,16077
lewis county,id,47.3,37.9,16061
gem county,id,36.1,37.5,16045
jerome county,id,38.1,31.6,16053
benewah county,id,46.3,36.8,16009
bonner county,id,39.2,44.2,16017
bear lake county,id,41.6,33.8,16007
canyon county,id,39.2,34.2,16027
bonneville county,id,44.6,35.1,16019
jefferson county,id,35.6,28.5,16051
clark county,id,35.3,28.2,16033
latah county,id,52.3,37.9,16057
dekalb county,il,53.3,38.0,17037
ford county,il,53.9,41.5,17053
white county,il,47.4,35.1,17193
jackson county,il,49.5,41.4,17077
woodford county,il,52.4,41.7,17203
kane county,il,62.5,37.3,17089
franklin county,il,42.7,33.9,17055
warren county,il,47,44.5,17187
jersey county,il,53,37.7,17083
st. clair county,il,59.2,33.4,17163
tazewell county,il,56.5,40.5,17179
